id,testset_segid,global_segid,source,reference,system,translation,mqm_avg_score,score_textdavinci003_EA,score_ChatGPT_EA
14,2,583,"He added, ""@leondame MURDERED the catwalk @maisonmargiela. Guess it's true what they say. There ain't nothin"" like a DAME!""","Er fügte außerdem hinzu: „@leondame STAHL DIE SHOW @maisonmargiela. Es sieht so aus, als stimme, was behauptet wird. Nichts geht über einen DAME!“",Online-A.1574,"Er fügte hinzu: ""@leondame DEN Laufsteg @maisonmargiela. Raten Sie mal, es ist wahr, was sie sagen. Da ain't nothin"" wie ein DAME!""",-2.866667,-15,-19
15,3,686,"Various treaties have attempted to suppress that threat, yet today there are nearly 14,000 nuclear weapons based around the world.","Verschiedene Abkommen haben versucht, diese Bedrohung zu unterdrücken, dennoch gibt es heute fast 14.000 Atomwaffen weltweit.",Tohoku-AIP-NTT.890,"Verschiedene Verträge haben versucht, diese Bedrohung zu unterdrücken, doch heute gibt es fast 14.000 Atomwaffen auf der ganzen Welt.",-1.333333,-14,-2
16,3,686,"Various treaties have attempted to suppress that threat, yet today there are nearly 14,000 nuclear weapons based around the world.","Verschiedene Abkommen haben versucht, diese Bedrohung zu unterdrücken, dennoch gibt es heute fast 14.000 Atomwaffen weltweit.",OPPO.1535,"Verschiedene Verträge haben versucht, diese Bedrohung zu unterdrücken, doch heute sind weltweit fast 14.000 Atomwaffen stationiert.",-1.0,-14,-2
17,3,686,"Various treaties have attempted to suppress that threat, yet today there are nearly 14,000 nuclear weapons based around the world.","Verschiedene Abkommen haben versucht, diese Bedrohung zu unterdrücken, dennoch gibt es heute fast 14.000 Atomwaffen weltweit.",eTranslation.737,"Verschiedene Verträge haben versucht, diese Bedrohung zu unterdrücken, aber heute gibt es fast 14.000 Atomwaffen auf der ganzen Welt.",-1.666667,-13,0
18,3,686,"Various treaties have attempted to suppress that threat, yet today there are nearly 14,000 nuclear weapons based around the world.","Verschiedene Abkommen haben versucht, diese Bedrohung zu unterdrücken, dennoch gibt es heute fast 14.000 Atomwaffen weltweit.",Tencent_Translation.1520,"Verschiedene Verträge haben versucht, diese Bedrohung zu unterdrücken, aber heute gibt es fast 14.000 Atomwaffen auf der ganzen Welt.",-1.333333,-14,0
19,3,686,"Various treaties have attempted to suppress that threat, yet today there are nearly 14,000 nuclear weapons based around the world.","Verschiedene Abkommen haben versucht, diese Bedrohung zu unterdrücken, dennoch gibt es heute fast 14.000 Atomwaffen weltweit.",Huoshan_Translate.832,"Verschiedene Verträge haben versucht, diese Bedrohung zu unterdrücken, doch heute gibt es fast 14.000 Atomwaffen auf der ganzen Welt.",-1.333333,-14,0
20,3,686,"Various treaties have attempted to suppress that threat, yet today there are nearly 14,000 nuclear weapons based around the world.","Verschiedene Abkommen haben versucht, diese Bedrohung zu unterdrücken, dennoch gibt es heute fast 14.000 Atomwaffen weltweit.",Online-B.1590,"Verschiedene Verträge haben versucht, diese Bedrohung zu unterdrücken, doch heute gibt es weltweit fast 14.000 Atomwaffen.",-1.333333,-13,-2
21,3,686,"Various treaties have attempted to suppress that threat, yet today there are nearly 14,000 nuclear weapons based around the world.","Verschiedene Abkommen haben versucht, diese Bedrohung zu unterdrücken, dennoch gibt es heute fast 14.000 Atomwaffen weltweit.",Online-A.1574,"Verschiedene Verträge haben versucht, diese Bedrohung zu unterdrücken, aber heute gibt es fast 14.000 Atomwaffen auf der ganzen Welt.",-1.333333,-13,-2
22,4,797,"However, health officials warn one should not eat or drink within 15 minutes before starting the test.","Gesundheitsbeamte warnen jedoch davor, innerhalb eines Zeitraums von 15 Minuten vor Beginn des Tests Nahrung oder Getränke zu sich zu nehmen.",Tohoku-AIP-NTT.890,"Gesundheitsbeamte warnen jedoch, dass man nicht innerhalb von 15 Minuten vor Beginn des Tests essen oder trinken sollte.",-0.666667,-14,0
23,4,797,"However, health officials warn one should not eat or drink within 15 minutes before starting the test.","Gesundheitsbeamte warnen jedoch davor, innerhalb eines Zeitraums von 15 Minuten vor Beginn des Tests Nahrung oder Getränke zu sich zu nehmen.",OPPO.1535,"Gesundheitsbeamte warnen jedoch davor, innerhalb von 15 Minuten vor Beginn des Tests zu essen oder zu trinken.",-2.0,-7,0
24,4,797,"However, health officials warn one should not eat or drink within 15 minutes before starting the test.","Gesundheitsbeamte warnen jedoch davor, innerhalb eines Zeitraums von 15 Minuten vor Beginn des Tests Nahrung oder Getränke zu sich zu nehmen.",eTranslation.737,"Gesundheitsbeamte warnen jedoch, dass man nicht innerhalb von 15 Minuten vor Beginn des Tests essen oder trinken sollte.",-0.666667,-15,-2
25,4,797,"However, health officials warn one should not eat or drink within 15 minutes before starting the test.","Gesundheitsbeamte warnen jedoch davor, innerhalb eines Zeitraums von 15 Minuten vor Beginn des Tests Nahrung oder Getränke zu sich zu nehmen.",Tencent_Translation.1520,"Gesundheitsbeamte warnen jedoch, dass man nicht innerhalb von 15 Minuten vor Beginn des Tests essen oder trinken sollte.",-0.666667,-14,0
26,4,797,"However, health officials warn one should not eat or drink within 15 minutes before starting the test.","Gesundheitsbeamte warnen jedoch davor, innerhalb eines Zeitraums von 15 Minuten vor Beginn des Tests Nahrung oder Getränke zu sich zu nehmen.",Huoshan_Translate.832,"Gesundheitsbeamte warnen jedoch, dass man nicht innerhalb von 15 Minuten vor Beginn des Tests essen oder trinken sollte.",-0.666667,-14,0
27,4,797,"However, health officials warn one should not eat or drink within 15 minutes before starting the test.","Gesundheitsbeamte warnen jedoch davor, innerhalb eines Zeitraums von 15 Minuten vor Beginn des Tests Nahrung oder Getränke zu sich zu nehmen.",Online-B.1590,"Gesundheitsbeamte warnen jedoch davor, innerhalb von 15 Minuten vor Beginn des Tests zu essen oder zu trinken.",-2.0,-8,0
28,4,797,"However, health officials warn one should not eat or drink within 15 minutes before starting the test.","Gesundheitsbeamte warnen jedoch davor, innerhalb eines Zeitraums von 15 Minuten vor Beginn des Tests Nahrung oder Getränke zu sich zu nehmen.",Online-A.1574,"Gesundheitsbeamte warnen jedoch, dass man nicht innerhalb von 15 Minuten vor Beginn des Tests essen oder trinken sollte.",-0.666667,-14,0
29,5,853,"""We nicknamed him ""Lucky"" and I think the name applies,"" the officer said. ""He's definitely one lucky dog.""","„Wir haben ihm den Spitznamen „Lucky“ gegeben und ich denke, der Name passt“, so der Polizeibeamte. „Er ist auf jeden ein glücklicher Hund.“",Tohoku-AIP-NTT.890,"„Wir gaben ihm den Spitznamen „Lucky“ und ich denke, der Name trifft zu“, sagte der Beamte. „Er ist definitiv ein glücklicher Hund.“",-0.733333,-14,0
30,5,853,"""We nicknamed him ""Lucky"" and I think the name applies,"" the officer said. ""He's definitely one lucky dog.""","„Wir haben ihm den Spitznamen „Lucky“ gegeben und ich denke, der Name passt“, so der Polizeibeamte. „Er ist auf jeden ein glücklicher Hund.“",OPPO.1535,"„Wir nannten ihn“ Lucky „und ich denke, der Name trifft zu“, sagte der Offizier. „Er ist definitiv ein glücklicher Hund.“",-1.866667,-15,0
31,5,853,"""We nicknamed him ""Lucky"" and I think the name applies,"" the officer said. ""He's definitely one lucky dog.""","„Wir haben ihm den Spitznamen „Lucky“ gegeben und ich denke, der Name passt“, so der Polizeibeamte. „Er ist auf jeden ein glücklicher Hund.“",eTranslation.737,"„Wir nannten ihn“Lucky„und ich denke, der Name trifft zu“, sagte der Offizier. „Er ist definitiv ein glücklicher Hund.“",-3.2,-14,-2
32,5,853,"""We nicknamed him ""Lucky"" and I think the name applies,"" the officer said. ""He's definitely one lucky dog.""","„Wir haben ihm den Spitznamen „Lucky“ gegeben und ich denke, der Name passt“, so der Polizeibeamte. „Er ist auf jeden ein glücklicher Hund.“",Tencent_Translation.1520,"„Wir nannten ihn“ Lucky „und ich denke, der Name trifft zu“, sagte der Beamte. „Er ist definitiv ein glücklicher Hund.“",-1.533333,-14,0
33,5,853,"""We nicknamed him ""Lucky"" and I think the name applies,"" the officer said. ""He's definitely one lucky dog.""","„Wir haben ihm den Spitznamen „Lucky“ gegeben und ich denke, der Name passt“, so der Polizeibeamte. „Er ist auf jeden ein glücklicher Hund.“",Huoshan_Translate.832,"„Wir nannten ihn“ Lucky „und ich denke, der Name trifft zu“, sagte der Offizier. „Er ist definitiv ein glücklicher Hund“.",-3.533333,-15,-3
34,5,853,"""We nicknamed him ""Lucky"" and I think the name applies,"" the officer said. ""He's definitely one lucky dog.""","„Wir haben ihm den Spitznamen „Lucky“ gegeben und ich denke, der Name passt“, so der Polizeibeamte. „Er ist auf jeden ein glücklicher Hund.“",Online-B.1590,"""Wir haben ihn"" Lucky ""genannt und ich denke, der Name trifft zu"", sagte der Beamte. ""Er ist definitiv ein glücklicher Hund.""",-1.0,-14,-2
35,5,853,"""We nicknamed him ""Lucky"" and I think the name applies,"" the officer said. ""He's definitely one lucky dog.""","„Wir haben ihm den Spitznamen „Lucky“ gegeben und ich denke, der Name passt“, so der Polizeibeamte. „Er ist auf jeden ein glücklicher Hund.“",Online-A.1574,"""Wir nannten ihn ""Lucky"" und ich denke, der Name trifft zu"", sagte der Offizier. ""Er ist definitiv ein glücklicher Hund.""",-2.633333,-13,0
36,6,886,"Earlier this month, David was presented with the TV Choice Lifetime Achievement Award, at the prestigious ceremony in London.",Anfang dieses Monats wurde der Star-Filmemacher bei einer prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,Tohoku-AIP-NTT.890,Anfang dieses Monats wurde David bei der prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,-0.333333,-8,-7
37,6,886,"Earlier this month, David was presented with the TV Choice Lifetime Achievement Award, at the prestigious ceremony in London.",Anfang dieses Monats wurde der Star-Filmemacher bei einer prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,OPPO.1535,Anfang dieses Monats wurde David bei der prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,-0.333333,-8,-2
38,6,886,"Earlier this month, David was presented with the TV Choice Lifetime Achievement Award, at the prestigious ceremony in London.",Anfang dieses Monats wurde der Star-Filmemacher bei einer prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,eTranslation.737,Anfang dieses Monats wurde David bei der prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,-0.666667,-8,-2
39,6,886,"Earlier this month, David was presented with the TV Choice Lifetime Achievement Award, at the prestigious ceremony in London.",Anfang dieses Monats wurde der Star-Filmemacher bei einer prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,Tencent_Translation.1520,Anfang dieses Monats wurde David bei der prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,-0.333333,-9,-2
40,6,886,"Earlier this month, David was presented with the TV Choice Lifetime Achievement Award, at the prestigious ceremony in London.",Anfang dieses Monats wurde der Star-Filmemacher bei einer prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,Huoshan_Translate.832,Anfang dieses Monats wurde David bei der prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,-0.333333,-9,0
41,6,886,"Earlier this month, David was presented with the TV Choice Lifetime Achievement Award, at the prestigious ceremony in London.",Anfang dieses Monats wurde der Star-Filmemacher bei einer prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,Online-B.1590,Anfang dieses Monats wurde David bei der prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,-0.333333,-8,-1
42,6,886,"Earlier this month, David was presented with the TV Choice Lifetime Achievement Award, at the prestigious ceremony in London.",Anfang dieses Monats wurde der Star-Filmemacher bei einer prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,Online-A.1574,Anfang des Monats wurde David bei der prestigeträchtigen Zeremonie in London mit dem TV Choice Lifetime Achievement Award ausgezeichnet.,-0.333333,-9,0
43,7,941,Mr Haile-Gabriel pledged the readiness of the FAO to collaborate with other stakeholders in preventing and controlling rabies in the country.,"Herr Haile-Gabriel bekräftigte die Bereitschaft der FAO, gemeinsam mit anderen Interessengruppen an der Bekämpfung und Prävention der Tollwut im Land zu arbeiten.",Tohoku-AIP-NTT.890,"Haile-Gabriel sagte die Bereitschaft der FAO zu, mit anderen Akteuren bei der Verhütung und Bekämpfung der Tollwut im Land zusammenzuarbeiten.",-1.0,-13,0
44,7,941,Mr Haile-Gabriel pledged the readiness of the FAO to collaborate with other stakeholders in preventing and controlling rabies in the country.,"Herr Haile-Gabriel bekräftigte die Bereitschaft der FAO, gemeinsam mit anderen Interessengruppen an der Bekämpfung und Prävention der Tollwut im Land zu arbeiten.",OPPO.1535,"Haile-Gabriel sagte die Bereitschaft der FAO zu, mit anderen Akteuren bei der Prävention und Bekämpfung der Tollwut im Land zusammenzuarbeiten.",-0.666667,-14,-2
45,7,941,Mr Haile-Gabriel pledged the readiness of the FAO to collaborate with other stakeholders in preventing and controlling rabies in the country.,"Herr Haile-Gabriel bekräftigte die Bereitschaft der FAO, gemeinsam mit anderen Interessengruppen an der Bekämpfung und Prävention der Tollwut im Land zu arbeiten.",eTranslation.737,"Haile-Gabriel sagte die Bereitschaft der FAO zu, mit anderen Interessengruppen bei der Prävention und Bekämpfung der Tollwut im Land zusammenzuarbeiten.",-0.333333,-13,-2
46,7,941,Mr Haile-Gabriel pledged the readiness of the FAO to collaborate with other stakeholders in preventing and controlling rabies in the country.,"Herr Haile-Gabriel bekräftigte die Bereitschaft der FAO, gemeinsam mit anderen Interessengruppen an der Bekämpfung und Prävention der Tollwut im Land zu arbeiten.",Tencent_Translation.1520,"Haile-Gabriel sagte die Bereitschaft der FAO zu, mit anderen Akteuren bei der Verhütung und Kontrolle von Tollwut im Land zusammenzuarbeiten.",-1.333333,-15,0
47,7,941,Mr Haile-Gabriel pledged the readiness of the FAO to collaborate with other stakeholders in preventing and controlling rabies in the country.,"Herr Haile-Gabriel bekräftigte die Bereitschaft der FAO, gemeinsam mit anderen Interessengruppen an der Bekämpfung und Prävention der Tollwut im Land zu arbeiten.",Huoshan_Translate.832,"Haile-Gabriel sagte die Bereitschaft der FAO zu, mit anderen Akteuren bei der Prävention und Bekämpfung von Tollwut im Land zusammenzuarbeiten.",-0.666667,-14,-2
48,7,941,Mr Haile-Gabriel pledged the readiness of the FAO to collaborate with other stakeholders in preventing and controlling rabies in the country.,"Herr Haile-Gabriel bekräftigte die Bereitschaft der FAO, gemeinsam mit anderen Interessengruppen an der Bekämpfung und Prävention der Tollwut im Land zu arbeiten.",Online-B.1590,"Herr Haile-Gabriel versprach die Bereitschaft der FAO, mit anderen Interessengruppen bei der Verhütung und Bekämpfung der Tollwut im Land zusammenzuarbeiten.",-2.666667,-13,-2
49,7,941,Mr Haile-Gabriel pledged the readiness of the FAO to collaborate with other stakeholders in preventing and controlling rabies in the country.,"Herr Haile-Gabriel bekräftigte die Bereitschaft der FAO, gemeinsam mit anderen Interessengruppen an der Bekämpfung und Prävention der Tollwut im Land zu arbeiten.",Online-A.1574,"Herr Haile-Gabriel versprach die Bereitschaft der FAO, mit anderen Interessenträgern bei der Verhütung und Bekämpfung von Tollwut im Land zusammenzuarbeiten.",-2.0,-14,-2
50,8,1079,"Mr Holoien added: ""Specifically, we are able to measure the rate at which it gets brighter after it starts brightening, and we also observed a drop in its temperature and brightness that is unique.""",Herr Holoien sagte außerdem: „Wir konnten die Steigerungsrate der Helligkeit messen und wir haben auch einen einzigartigen Abfall der Temperatur und Helligkeit bemerkt.“,Tohoku-AIP-NTT.890,"Holoien fügte hinzu: ""Speziell sind wir in der Lage, die Geschwindigkeit zu messen, mit der es heller wird, nachdem es anfängt aufzuhellen, und wir haben auch einen Rückgang seiner Temperatur und Helligkeit beobachtet, der einzigartig ist.""",-2.866667,-14,-2
51,8,1079,"Mr Holoien added: ""Specifically, we are able to measure the rate at which it gets brighter after it starts brightening, and we also observed a drop in its temperature and brightness that is unique.""",Herr Holoien sagte außerdem: „Wir konnten die Steigerungsrate der Helligkeit messen und wir haben auch einen einzigartigen Abfall der Temperatur und Helligkeit bemerkt.“,OPPO.1535,"Holoien fügte hinzu: „Konkret sind wir in der Lage, die Geschwindigkeit zu messen, mit der es heller wird, nachdem es zu erhellen beginnt, und wir haben auch einen Rückgang seiner Temperatur und Helligkeit beobachtet, der einzigartig ist.“",-2.0,-19,-3
52,8,1079,"Mr Holoien added: ""Specifically, we are able to measure the rate at which it gets brighter after it starts brightening, and we also observed a drop in its temperature and brightness that is unique.""",Herr Holoien sagte außerdem: „Wir konnten die Steigerungsrate der Helligkeit messen und wir haben auch einen einzigartigen Abfall der Temperatur und Helligkeit bemerkt.“,eTranslation.737,"Holoien fügte hinzu: „Speziell sind wir in der Lage, die Geschwindigkeit zu messen, mit der es heller wird, nachdem es anfängt aufzuhellen, und wir beobachteten auch einen Rückgang seiner Temperatur und Helligkeit, der einzigartig ist.“",-0.333333,-18,-4
53,8,1079,"Mr Holoien added: ""Specifically, we are able to measure the rate at which it gets brighter after it starts brightening, and we also observed a drop in its temperature and brightness that is unique.""",Herr Holoien sagte außerdem: „Wir konnten die Steigerungsrate der Helligkeit messen und wir haben auch einen einzigartigen Abfall der Temperatur und Helligkeit bemerkt.“,Tencent_Translation.1520,"Holoien fügte hinzu: „Insbesondere sind wir in der Lage, die Geschwindigkeit zu messen, mit der es heller wird, nachdem es sich zu erhellen beginnt, und wir haben auch einen Rückgang seiner Temperatur und Helligkeit beobachtet, der einzigartig ist.“",-0.0,-19,-3
54,8,1079,"Mr Holoien added: ""Specifically, we are able to measure the rate at which it gets brighter after it starts brightening, and we also observed a drop in its temperature and brightness that is unique.""",Herr Holoien sagte außerdem: „Wir konnten die Steigerungsrate der Helligkeit messen und wir haben auch einen einzigartigen Abfall der Temperatur und Helligkeit bemerkt.“,Huoshan_Translate.832,"Herr Holoien fügte hinzu: „Insbesondere sind wir in der Lage, die Geschwindigkeit zu messen, mit der es heller wird, nachdem es sich aufhellt, und wir haben auch einen Rückgang seiner Temperatur und Helligkeit beobachtet, der einzigartig ist“.",-2.333333,-14,-4
55,8,1079,"Mr Holoien added: ""Specifically, we are able to measure the rate at which it gets brighter after it starts brightening, and we also observed a drop in its temperature and brightness that is unique.""",Herr Holoien sagte außerdem: „Wir konnten die Steigerungsrate der Helligkeit messen und wir haben auch einen einzigartigen Abfall der Temperatur und Helligkeit bemerkt.“,Online-B.1590,"Herr Holoien fügte hinzu: ""Insbesondere können wir die Geschwindigkeit messen, mit der es nach dem Aufhellen heller wird, und wir haben auch einen einzigartigen Temperatur- und Helligkeitsabfall beobachtet.""",-4.2,-14,-2
56,8,1079,"Mr Holoien added: ""Specifically, we are able to measure the rate at which it gets brighter after it starts brightening, and we also observed a drop in its temperature and brightness that is unique.""",Herr Holoien sagte außerdem: „Wir konnten die Steigerungsrate der Helligkeit messen und wir haben auch einen einzigartigen Abfall der Temperatur und Helligkeit bemerkt.“,Online-A.1574,"Holoien fügte hinzu: ""Insbesondere können wir die Geschwindigkeit messen, mit der es heller wird, nachdem es aufhellt, und wir haben auch einen Rückgang seiner Temperatur und Helligkeit beobachtet, der einzigartig ist.""",-0.2,-15,-3
57,9,1100,"So far, the two countries held 21 rounds of Special Representatives talks to resolve the border dispute.","Bislang haben die beiden Länder 21 Verhandlungsrunden mit Sonderbeauftragten abgehalten, um den Grenzkonflikt zu lösen.",Tohoku-AIP-NTT.890,"Bisher führten die beiden Länder 21 Gesprächsrunden mit Sonderbeauftragten durch, um den Grenzstreit zu lösen.",-0.0,-13,0
58,9,1100,"So far, the two countries held 21 rounds of Special Representatives talks to resolve the border dispute.","Bislang haben die beiden Länder 21 Verhandlungsrunden mit Sonderbeauftragten abgehalten, um den Grenzkonflikt zu lösen.",OPPO.1535,"Bisher führten die beiden Länder 21 Gesprächsrunden der Sonderbeauftragten durch, um den Grenzstreit beizulegen.",-0.666667,-13,-2
59,9,1100,"So far, the two countries held 21 rounds of Special Representatives talks to resolve the border dispute.","Bislang haben die beiden Länder 21 Verhandlungsrunden mit Sonderbeauftragten abgehalten, um den Grenzkonflikt zu lösen.",eTranslation.737,"Bisher haben die beiden Länder 21 Runden von Gesprächen der Sonderbeauftragten geführt, um den Grenzstreit zu lösen.",-1.333333,-14,-2
60,9,1100,"So far, the two countries held 21 rounds of Special Representatives talks to resolve the border dispute.","Bislang haben die beiden Länder 21 Verhandlungsrunden mit Sonderbeauftragten abgehalten, um den Grenzkonflikt zu lösen.",Tencent_Translation.1520,"Bisher haben die beiden Länder 21 Gesprächsrunden mit Sonderbeauftragten geführt, um den Grenzstreit beizulegen.",-0.333333,-13,-3
61,9,1100,"So far, the two countries held 21 rounds of Special Representatives talks to resolve the border dispute.","Bislang haben die beiden Länder 21 Verhandlungsrunden mit Sonderbeauftragten abgehalten, um den Grenzkonflikt zu lösen.",Huoshan_Translate.832,"Bisher führten die beiden Länder 21 Gesprächsrunden der Sonderbeauftragten durch, um den Grenzstreit beizulegen.",-1.0,-13,-2
62,9,1100,"So far, the two countries held 21 rounds of Special Representatives talks to resolve the border dispute.","Bislang haben die beiden Länder 21 Verhandlungsrunden mit Sonderbeauftragten abgehalten, um den Grenzkonflikt zu lösen.",Online-B.1590,"Bisher führten die beiden Länder 21 Gesprächsrunden mit Sonderbeauftragten durch, um den Grenzstreit beizulegen.",-0.0,-14,0
63,9,1100,"So far, the two countries held 21 rounds of Special Representatives talks to resolve the border dispute.","Bislang haben die beiden Länder 21 Verhandlungsrunden mit Sonderbeauftragten abgehalten, um den Grenzkonflikt zu lösen.",Online-A.1574,Bisher führten die beiden Länder 21 Gesprächsrunden der Sonderbeauftragten zur Beilegung des Grenzstreits durch.,-1.0,-14,0
64,10,1156,A man has been set alight on his doorstep in what police believe is a targeted attack.,"Ein Mann wurde auf seiner Türschwelle angezündet, die Polizei geht von einem gezielten Angriff aus.",Tohoku-AIP-NTT.890,"Ein Mann wurde vor seiner Haustür angezündet, was die Polizei für einen gezielten Angriff hält.",-0.666667,-15,0
