id,testset_segid,global_segid,source,reference,system,translation,mqm_avg_score,score_textdavinci003_standard,score_textdavinci003_EA_zeroshot,score_textdavinci003_EA,score_ChatGPT_standard,score_ChatGPT_EA_zeroshot,score_ChatGPT_EA
17,3,931,就在此时此刻，2000多名中国维和人员正在非洲5个联合国任务区守护和平。,"At the moment, more than 2,000 Chinese peacekeepers are safeguarding peace in five UN missions in Africa.",Huoshan_Translate.919,"At this very moment, more than 2,000 Chinese peacekeepers are guarding peace in five United Nations mission areas in Africa.",-0.666667,95,-1,-14,95.0,-2,-2
18,3,931,就在此时此刻，2000多名中国维和人员正在非洲5个联合国任务区守护和平。,"At the moment, more than 2,000 Chinese peacekeepers are safeguarding peace in five UN missions in Africa.",WeChat_AI.1525,"At this moment, more than 2,000 Chinese peacekeepers are guarding peace in five United Nations mission areas in Africa.",-0.666667,95,0,-13,100.0,-2,-2
19,3,931,就在此时此刻，2000多名中国维和人员正在非洲5个联合国任务区守护和平。,"At the moment, more than 2,000 Chinese peacekeepers are safeguarding peace in five UN missions in Africa.",Tencent_Translation.1249,"At this very moment, more than 2,000 Chinese peacekeepers are guarding peace in five United Nations mission areas in Africa.",-0.666667,95,-1,-13,100.0,-3,-2
20,3,931,就在此时此刻，2000多名中国维和人员正在非洲5个联合国任务区守护和平。,"At the moment, more than 2,000 Chinese peacekeepers are safeguarding peace in five UN missions in Africa.",OPPO.1422,"At this very moment, more than 2,000 Chinese peacekeepers are guarding peace in five United Nations mission areas in Africa.",-0.666667,95,-1,-13,95.0,-2,-3
21,3,931,就在此时此刻，2000多名中国维和人员正在非洲5个联合国任务区守护和平。,"At the moment, more than 2,000 Chinese peacekeepers are safeguarding peace in five UN missions in Africa.",THUNLP.1498,"At this moment, more than 2,000 Chinese peacekeepers are guarding peace in five United Nations mission areas in Africa.",-0.666667,95,0,-13,95.0,-3,-2
22,3,931,就在此时此刻，2000多名中国维和人员正在非洲5个联合国任务区守护和平。,"At the moment, more than 2,000 Chinese peacekeepers are safeguarding peace in five UN missions in Africa.",DeepMind.381,"At this very moment, more than 2,000 Chinese peacekeepers are guarding peace in five United Nations mission areas in Africa.",-0.666667,95,-1,-14,95.0,-1,-1
23,3,931,就在此时此刻，2000多名中国维和人员正在非洲5个联合国任务区守护和平。,"At the moment, more than 2,000 Chinese peacekeepers are safeguarding peace in five UN missions in Africa.",DiDi_NLP.401,"At this moment, more than 2,000 Chinese peacekeepers are guarding peace in five United Nations mission areas in Africa.",-0.666667,95,0,-13,95.0,-3,-2
24,3,931,就在此时此刻，2000多名中国维和人员正在非洲5个联合国任务区守护和平。,"At the moment, more than 2,000 Chinese peacekeepers are safeguarding peace in five UN missions in Africa.",Online-B.1605,"At this moment, more than 2,000 Chinese peacekeepers are guarding peace in five United Nations mission areas in Africa.",-0.666667,95,0,-13,98.0,-3,-2
25,4,1140,游客须准备一份涵盖沙特境内的医疗保险，以及提供一个沙特境内的地址即可申请。,Tourists must prepare medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,Huoshan_Translate.919,Visitors must prepare a medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,-0.333333,95,0,-2,100.0,0,-2
26,4,1140,游客须准备一份涵盖沙特境内的医疗保险，以及提供一个沙特境内的地址即可申请。,Tourists must prepare medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,WeChat_AI.1525,Tourists must prepare a medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,-0.333333,100,0,-2,95.0,-1,-2
27,4,1140,游客须准备一份涵盖沙特境内的医疗保险，以及提供一个沙特境内的地址即可申请。,Tourists must prepare medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,Tencent_Translation.1249,Tourists must prepare a medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,-0.333333,100,0,-2,100.0,-1,-3
28,4,1140,游客须准备一份涵盖沙特境内的医疗保险，以及提供一个沙特境内的地址即可申请。,Tourists must prepare medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,OPPO.1422,Visitors must prepare a medical insurance policy covering Saudi Arabia and provide an address in Saudi Arabia to apply.,-0.666667,95,0,-2,95.0,0,-3
29,4,1140,游客须准备一份涵盖沙特境内的医疗保险，以及提供一个沙特境内的地址即可申请。,Tourists must prepare medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,THUNLP.1498,Tourists must prepare a medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,-0.333333,100,0,-2,95.0,-1,-2
30,4,1140,游客须准备一份涵盖沙特境内的医疗保险，以及提供一个沙特境内的地址即可申请。,Tourists must prepare medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,DeepMind.381,Visitors must prepare a medical insurance covering Saudi territory and provide an address in Saudi Arabia to apply.,-0.333333,95,-1,-8,95.0,-1,-3
31,4,1140,游客须准备一份涵盖沙特境内的医疗保险，以及提供一个沙特境内的地址即可申请。,Tourists must prepare medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,DiDi_NLP.401,Tourists must prepare a medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,-0.333333,100,0,-2,100.0,0,0
32,4,1140,游客须准备一份涵盖沙特境内的医疗保险，以及提供一个沙特境内的地址即可申请。,Tourists must prepare medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,Online-B.1605,Tourists must prepare a medical insurance covering Saudi Arabia and provide an address in Saudi Arabia to apply.,-0.333333,100,0,-2,100.0,-1,-2
33,5,1347,兴安盟属于大兴安岭南麓集中连片特困地区。,Xing’an Prefecture is within the concentrated poverty-stricken areas in the south of the Greater Khingan Range.,Huoshan_Translate.919,Xing 'an League belongs to a contiguous poverty-stricken area at the southern foot of Daxing' anling Mountains.,-2.333333,80,-10,-13,90.0,-6,-12
34,5,1347,兴安盟属于大兴安岭南麓集中连片特困地区。,Xing’an Prefecture is within the concentrated poverty-stricken areas in the south of the Greater Khingan Range.,WeChat_AI.1525,Xing UNITA belongs to the concentrated special hardship area at the southern foot of Daxing'anling.,-5.333333,70,-10,-14,90.0,-12,-10
35,5,1347,兴安盟属于大兴安岭南麓集中连片特困地区。,Xing’an Prefecture is within the concentrated poverty-stricken areas in the south of the Greater Khingan Range.,Tencent_Translation.1249,Hinggan League belongs to the concentrated special hardship area in the southern foothills of Greater Khingan Range.,-3.0,90,-1,-13,95.0,-12,-13
36,5,1347,兴安盟属于大兴安岭南麓集中连片特困地区。,Xing’an Prefecture is within the concentrated poverty-stricken areas in the south of the Greater Khingan Range.,OPPO.1422,XingUNITA is a concentrated area of special hardship in the southern foothills of the Daxing'an Mountains.,-6.333333,80,-10,-13,90.0,-6,-9
37,5,1347,兴安盟属于大兴安岭南麓集中连片特困地区。,Xing’an Prefecture is within the concentrated poverty-stricken areas in the south of the Greater Khingan Range.,THUNLP.1498,Xing UNITA belongs to a series of special hardship areas in the southern foothills of the Daxing'an Mountains.,-8.0,70,-10,-15,85.0,-5,-14
38,5,1347,兴安盟属于大兴安岭南麓集中连片特困地区。,Xing’an Prefecture is within the concentrated poverty-stricken areas in the south of the Greater Khingan Range.,DeepMind.381,Xing'an League belongs to the special hardship area concentrated in the southern foothills of Daxing'anling.,-3.666667,90,-1,-14,95.0,-1,-2
39,5,1347,兴安盟属于大兴安岭南麓集中连片特困地区。,Xing’an Prefecture is within the concentrated poverty-stricken areas in the south of the Greater Khingan Range.,DiDi_NLP.401,Xing'an League belongs to a contiguous and extremely difficult area in the southern foothills of Daxing'an Mountains.,-3.666667,90,-10,-14,85.0,-8,-3
40,5,1347,兴安盟属于大兴安岭南麓集中连片特困地区。,Xing’an Prefecture is within the concentrated poverty-stricken areas in the south of the Greater Khingan Range.,Online-B.1605,Xing'an League belongs to the contiguous and destitute area in the south of Daxing'an Mountains.,-2.0,90,-1,-13,90.0,-1,-13
41,6,1456,亮相仪式上，VKBIA代表同越南农庄与农业企业协会代表签署了合作协议。,"At the unveiling ceremony, representatives of VKBIA and Vietnam Farms and Agricultural Enterprises Association signed a cooperation agreement.",Huoshan_Translate.919,"At the ceremony, representatives of VKBIA signed a cooperation agreement with representatives of the Vietnam Farm and Agricultural Enterprise Association.",-0.666667,95,-1,-9,95.0,-6,-1
42,6,1456,亮相仪式上，VKBIA代表同越南农庄与农业企业协会代表签署了合作协议。,"At the unveiling ceremony, representatives of VKBIA and Vietnam Farms and Agricultural Enterprises Association signed a cooperation agreement.",WeChat_AI.1525,"At the presentation ceremony, representatives of VKBIA signed a cooperation agreement with representatives of the Vietnam Farm and Agricultural Enterprise Association.",-5.666667,95,-1,-9,95.0,-6,-10
43,6,1456,亮相仪式上，VKBIA代表同越南农庄与农业企业协会代表签署了合作协议。,"At the unveiling ceremony, representatives of VKBIA and Vietnam Farms and Agricultural Enterprises Association signed a cooperation agreement.",Tencent_Translation.1249,"At the appearance ceremony, representatives of VKBIA signed a cooperation agreement with representatives of the Vietnam Farm and Agricultural Enterprise Association.",-5.666667,95,-1,-14,95.0,-6,-2
44,6,1456,亮相仪式上，VKBIA代表同越南农庄与农业企业协会代表签署了合作协议。,"At the unveiling ceremony, representatives of VKBIA and Vietnam Farms and Agricultural Enterprises Association signed a cooperation agreement.",OPPO.1422,"At the unveiling ceremony, VKBIA representatives signed a cooperation agreement with representatives of the Vietnam Farmers and Agribusiness Association.",-2.0,95,-1,-14,90.0,-6,-2
45,6,1456,亮相仪式上，VKBIA代表同越南农庄与农业企业协会代表签署了合作协议。,"At the unveiling ceremony, representatives of VKBIA and Vietnam Farms and Agricultural Enterprises Association signed a cooperation agreement.",THUNLP.1498,"At the presentation ceremony, representatives of VKBIA signed a cooperation agreement with representatives of the Vietnam Farm and Agricultural Enterprise Association.",-2.333333,95,-1,-9,85.0,-1,-3
46,6,1456,亮相仪式上，VKBIA代表同越南农庄与农业企业协会代表签署了合作协议。,"At the unveiling ceremony, representatives of VKBIA and Vietnam Farms and Agricultural Enterprises Association signed a cooperation agreement.",DeepMind.381,"At the ceremony, representatives of VKBIA signed a cooperation agreement with representatives of the Association of Farmers and Agricultural Enterprises of Vietnam.",-2.0,95,-1,-9,95.0,-2,-2
47,6,1456,亮相仪式上，VKBIA代表同越南农庄与农业企业协会代表签署了合作协议。,"At the unveiling ceremony, representatives of VKBIA and Vietnam Farms and Agricultural Enterprises Association signed a cooperation agreement.",DiDi_NLP.401,"At the unveiling ceremony, representatives of VKBIA signed a cooperation agreement with representatives of the Vietnam Farm and Agricultural Enterprise Association.",-0.666667,95,-1,-8,95.0,-1,-2
48,6,1456,亮相仪式上，VKBIA代表同越南农庄与农业企业协会代表签署了合作协议。,"At the unveiling ceremony, representatives of VKBIA and Vietnam Farms and Agricultural Enterprises Association signed a cooperation agreement.",Online-B.1605,"At the unveiling ceremony, the representatives of VKBIA signed a cooperation agreement with the representatives of Vietnam Farms and Agricultural Enterprises Association.",-0.0,95,-1,-2,95.0,-1,-3
49,7,1545,白皮书强调，中国经济与世界经济已经发生结构性变化，深度融合在一起。,The white paper emphasizes that both Chinese economy and the world economy have undergone structural changes and become deeply integrated.,Huoshan_Translate.919,The white paper emphasizes that structural changes have taken place in China's economy and the world economy and are deeply integrated.,-3.333333,95,-1,-9,95.0,-2,-2
50,7,1545,白皮书强调，中国经济与世界经济已经发生结构性变化，深度融合在一起。,The white paper emphasizes that both Chinese economy and the world economy have undergone structural changes and become deeply integrated.,WeChat_AI.1525,The white paper emphasizes that China's economy and the world economy have undergone structural changes and are deeply integrated.,-0.0,95,-1,-9,95.0,-1,-2
51,7,1545,白皮书强调，中国经济与世界经济已经发生结构性变化，深度融合在一起。,The white paper emphasizes that both Chinese economy and the world economy have undergone structural changes and become deeply integrated.,Tencent_Translation.1249,The white paper emphasizes that China's economy and the world economy have undergone structural changes and are deeply integrated.,-0.0,95,-1,-8,95.0,-1,-2
52,7,1545,白皮书强调，中国经济与世界经济已经发生结构性变化，深度融合在一起。,The white paper emphasizes that both Chinese economy and the world economy have undergone structural changes and become deeply integrated.,OPPO.1422,The white paper stressed that China's economy and the world economy have undergone structural changes and are deeply integrated.,-0.0,95,-1,-8,95.0,-1,0
53,7,1545,白皮书强调，中国经济与世界经济已经发生结构性变化，深度融合在一起。,The white paper emphasizes that both Chinese economy and the world economy have undergone structural changes and become deeply integrated.,THUNLP.1498,The white paper emphasizes that China's economy and the world economy have undergone structural changes and are deeply integrated.,-0.333333,95,-1,-9,95.0,0,-2
54,7,1545,白皮书强调，中国经济与世界经济已经发生结构性变化，深度融合在一起。,The white paper emphasizes that both Chinese economy and the world economy have undergone structural changes and become deeply integrated.,DeepMind.381,The white paper emphasizes that China's economy and the world economy have undergone structural changes and are deeply integrated.,-0.0,95,-1,-9,90.0,-1,-2
55,7,1545,白皮书强调，中国经济与世界经济已经发生结构性变化，深度融合在一起。,The white paper emphasizes that both Chinese economy and the world economy have undergone structural changes and become deeply integrated.,DiDi_NLP.401,The white paper emphasizes that the Chinese economy and the world economy have undergone structural changes and are deeply integrated.,-0.0,95,0,-8,100.0,-1,-3
56,7,1545,白皮书强调，中国经济与世界经济已经发生结构性变化，深度融合在一起。,The white paper emphasizes that both Chinese economy and the world economy have undergone structural changes and become deeply integrated.,Online-B.1605,The white paper emphasizes that the Chinese economy and the world economy have undergone structural changes and are deeply integrated.,-0.0,95,0,-8,95.0,-1,0
57,8,1598,“中国好故事”数据库上线 向世界展现真实立体全面的中国,"“The story of China” database is online to show the world a true, three-dimensional and comprehensive China",Huoshan_Translate.919,"The ""China Good Story"" database goes online to show the world a real, three-dimensional and comprehensive China.",-6.1,95,-1,-8,100.0,-1,-2
58,8,1598,“中国好故事”数据库上线 向世界展现真实立体全面的中国,"“The story of China” database is online to show the world a true, three-dimensional and comprehensive China",WeChat_AI.1525,"The ""China Good Story"" database goes online to show the world a real, three-dimensional and comprehensive China",-7.433333,95,-1,-9,95.0,-1,-3
59,8,1598,“中国好故事”数据库上线 向世界展现真实立体全面的中国,"“The story of China” database is online to show the world a true, three-dimensional and comprehensive China",Tencent_Translation.1249,"""Good Stories of China"" database online to show the world a real three-dimensional and comprehensive China",-7.733333,95,-1,-14,95.0,-4,-5
60,8,1598,“中国好故事”数据库上线 向世界展现真实立体全面的中国,"“The story of China” database is online to show the world a true, three-dimensional and comprehensive China",OPPO.1422,"""China's Good Story"" Goes Online to Show the World a True Stereoscopic and Comprehensive China",-4.4,95,-1,-14,95.0,-5,-2
61,8,1598,“中国好故事”数据库上线 向世界展现真实立体全面的中国,"“The story of China” database is online to show the world a true, three-dimensional and comprehensive China",THUNLP.1498,"""China's Good Story"" database goes online to show the world a real, three-dimensional and comprehensive China.",-4.1,95,-1,-14,95.0,-1,-3
62,8,1598,“中国好故事”数据库上线 向世界展现真实立体全面的中国,"“The story of China” database is online to show the world a true, three-dimensional and comprehensive China",DeepMind.381,"The ""Good Story of China"" database is online to show the world a real, three-dimensional and comprehensive China",-4.433333,95,0,-8,95.0,-18,-3
63,8,1598,“中国好故事”数据库上线 向世界展现真实立体全面的中国,"“The story of China” database is online to show the world a true, three-dimensional and comprehensive China",DiDi_NLP.401,"""China Good Stories"" database is online to show the world a true and comprehensive China",-9.7,90,-1,-8,95.0,-10,-14
64,8,1598,“中国好故事”数据库上线 向世界展现真实立体全面的中国,"“The story of China” database is online to show the world a true, three-dimensional and comprehensive China",Online-B.1605,"""China Good Stories"" database is online to show the world a true and comprehensive China",-9.033333,90,-1,-8,95.0,-8,-12
65,9,1859,该套金银纪念币由沈阳造币有限公司铸造，中国金币总公司总经销。,"The set of gold and silver commemorative coins is minted by Shenyang Mint Co., Ltd. and distributed by China Gold Coin Incorporation.",Huoshan_Translate.919,"This set of gold and silver commemorative coins was minted by Shenyang Coin Co., Ltd. and distributed by China Gold Coin Corporation.",-3.333333,95,-1,-14,100.0,0,-2
66,9,1859,该套金银纪念币由沈阳造币有限公司铸造，中国金币总公司总经销。,"The set of gold and silver commemorative coins is minted by Shenyang Mint Co., Ltd. and distributed by China Gold Coin Incorporation.",WeChat_AI.1525,"This set of gold and silver commemorative coins is minted by Shenyang Mint Co., Ltd., and distributed by China Gold Coin Corporation.",-0.0,100,-1,-13,95.0,-1,0
67,9,1859,该套金银纪念币由沈阳造币有限公司铸造，中国金币总公司总经销。,"The set of gold and silver commemorative coins is minted by Shenyang Mint Co., Ltd. and distributed by China Gold Coin Incorporation.",Tencent_Translation.1249,The set of gold and silver commemorative coins was cast by Shenyang Mint Co. Ltd. and distributed by China Gold Coin Corporation.,-2.0,95,-1,-13,100.0,-1,0
68,9,1859,该套金银纪念币由沈阳造币有限公司铸造，中国金币总公司总经销。,"The set of gold and silver commemorative coins is minted by Shenyang Mint Co., Ltd. and distributed by China Gold Coin Incorporation.",OPPO.1422,"The set of gold and silver commemorative coins was minted by the Shenyang Mint Co., Ltd. and distributed by the China Gold Coin Incorporation.",-0.0,95,-1,-6,100.0,-1,0
69,9,1859,该套金银纪念币由沈阳造币有限公司铸造，中国金币总公司总经销。,"The set of gold and silver commemorative coins is minted by Shenyang Mint Co., Ltd. and distributed by China Gold Coin Incorporation.",THUNLP.1498,"This set of gold and silver commemorative coins was minted by Shenyang Coinage Co., Ltd. and distributed by China Gold Coin Corporation.",-3.333333,95,-1,-14,95.0,-1,-2
70,9,1859,该套金银纪念币由沈阳造币有限公司铸造，中国金币总公司总经销。,"The set of gold and silver commemorative coins is minted by Shenyang Mint Co., Ltd. and distributed by China Gold Coin Incorporation.",DeepMind.381,"The set of gold and silver commemorative coins was minted by Shenyang Coinmaking Co., Ltd. and distributed by China Gold Coin Corporation.",-5.0,90,-1,-14,90.0,-1,-2
71,9,1859,该套金银纪念币由沈阳造币有限公司铸造，中国金币总公司总经销。,"The set of gold and silver commemorative coins is minted by Shenyang Mint Co., Ltd. and distributed by China Gold Coin Incorporation.",DiDi_NLP.401,"The set of gold and silver commemorative coins was minted by Shenyang Mint Co., Ltd. and distributed by China National Gold Coin Corporation.",-3.666667,90,-5,-8,95.0,-1,-12
72,9,1859,该套金银纪念币由沈阳造币有限公司铸造，中国金币总公司总经销。,"The set of gold and silver commemorative coins is minted by Shenyang Mint Co., Ltd. and distributed by China Gold Coin Incorporation.",Online-B.1605,"The set of gold and silver commemorative coins was minted by Shenyang Mint Co., Ltd. and distributed by China Gold Coin Corporation.",-0.0,95,-1,-8,100.0,-1,-2
73,10,1904,第86次中老缅泰湄公河联合巡逻执法完成。,"The 86th Mekong River Joint Patrol and Law Enforcement Exercise by China, Laos, Myanmar, and Thailand has concluded.",Huoshan_Translate.919,The 86th Sino-Lao Myanmar-Thailand Mekong Joint Patrol and Law Enforcement Completed.,-2.366667,90,-10,-14,87.5,-2,-7
74,10,1904,第86次中老缅泰湄公河联合巡逻执法完成。,"The 86th Mekong River Joint Patrol and Law Enforcement Exercise by China, Laos, Myanmar, and Thailand has concluded.",WeChat_AI.1525,The 86th Sino-Lao Myanmar-Thailand Mekong River Joint Patrol Law Enforcement was completed.,-1.366667,90,-10,-13,70.0,-6,-2
75,10,1904,第86次中老缅泰湄公河联合巡逻执法完成。,"The 86th Mekong River Joint Patrol and Law Enforcement Exercise by China, Laos, Myanmar, and Thailand has concluded.",Tencent_Translation.1249,The 86th China-Laos-Myanmar-Thailand Mekong Joint Patrol Law Enforcement was completed.,-0.666667,95,-10,-13,80.0,-6,-2
76,10,1904,第86次中老缅泰湄公河联合巡逻执法完成。,"The 86th Mekong River Joint Patrol and Law Enforcement Exercise by China, Laos, Myanmar, and Thailand has concluded.",OPPO.1422,"The 86th China-Laos, Myanmar and Thailand Mekong River Joint Patrol Law Enforcement was completed.",-1.0,90,-10,-13,80.0,-17,-3
77,10,1904,第86次中老缅泰湄公河联合巡逻执法完成。,"The 86th Mekong River Joint Patrol and Law Enforcement Exercise by China, Laos, Myanmar, and Thailand has concluded.",THUNLP.1498,The 86th Sino-Lao Myanmar-Thailand Mekong River joint patrol and law enforcement was completed.,-1.033333,95,-10,-15,95.0,-13,-3
78,10,1904,第86次中老缅泰湄公河联合巡逻执法完成。,"The 86th Mekong River Joint Patrol and Law Enforcement Exercise by China, Laos, Myanmar, and Thailand has concluded.",DeepMind.381,The 86th China-Laos-Myanmar-Thailand Mekong River joint patrol law enforcement was completed.,-0.666667,95,-10,-14,90.0,-2,-2
79,10,1904,第86次中老缅泰湄公河联合巡逻执法完成。,"The 86th Mekong River Joint Patrol and Law Enforcement Exercise by China, Laos, Myanmar, and Thailand has concluded.",DiDi_NLP.401,The 86th China-Laos-Myanmar-Thailand Mekong Joint Patrol Law Enforcement was completed.,-1.0,95,-10,-13,80.0,-1,-2
80,10,1904,第86次中老缅泰湄公河联合巡逻执法完成。,"The 86th Mekong River Joint Patrol and Law Enforcement Exercise by China, Laos, Myanmar, and Thailand has concluded.",Online-B.1605,The 86th China-Laos-Myanmar-Thailand Mekong Joint Patrol Law Enforcement was completed.,-1.0,95,-10,-13,80.0,-2,-2
81,11,245,其航站楼的屋顶盖钢架构的地面投影面积达到18万平米，有25个标准足球场的大小。,"The projected area of the steel roof of its terminal on the ground is 180,000 square meters, the same area of 25 standard football fields.",Huoshan_Translate.919,"The roof-covered steel structure of its terminal has a floor projection area of 180,000 square meters, the size of 25 standard football fields.",-0.333333,95,-1,-14,95.0,-1,-2
82,11,245,其航站楼的屋顶盖钢架构的地面投影面积达到18万平米，有25个标准足球场的大小。,"The projected area of the steel roof of its terminal on the ground is 180,000 square meters, the same area of 25 standard football fields.",WeChat_AI.1525,"The roof of its terminal building has a surface projection area of 180,000 square meters, the size of 25 standard football fields.",-3.333333,90,-1,-14,100.0,-1,-2
83,11,245,其航站楼的屋顶盖钢架构的地面投影面积达到18万平米，有25个标准足球场的大小。,"The projected area of the steel roof of its terminal on the ground is 180,000 square meters, the same area of 25 standard football fields.",Tencent_Translation.1249,"The roof steel structure of its terminal has a projected area of 180,000 square meters and is the size of 25 standard football fields.",-1.666667,95,-1,-14,95.0,0,-3
